name,place,number
James,Orleans,504-621-8927
Josephine,Livingston,810-292-9388
Art,Gloucester,856-636-8749
Lenna,Anchorage,907-385-4412
Donette,Butler,513-570-1893
Simona,Ashland,419-503-2484
Mitsue,Cook,773-573-6914
Leota,Santa Clara,408-752-3500
Sage,Minnehaha,605-414-2147
Kris,Baltimore City,410-655-8723
Minna,Montgomery,215-874-1229
Abel,Suffolk,631-335-3414
Kiley,Los Angeles,310-498-5651
Graciela,Geauga,440-780-8425
Cammy,Webb,956-537-6195
Mattie,Maricopa,602-277-4385
Meaghan,Warren,931-313-9635
Gladys,Milwaukee,414-661-9598
Yuki,Wayne,313-288-7937
Fletcher,Winnebago,815-828-2147
Bette,Delaware,610-545-3615
Veronika,Santa Clara,408-540-1785
Willard,Dallas,972-303-9197
Maryann,Albany,518-966-7987
Alisha,Middlesex,732-658-3154
Allene,Portage,715-662-6764
Chanel,Johnson,913-388-2079
Ezekiel,Talbot,410-669-1642
Willow,New York,212-582-4976
Bernardo,Montgomery,936-336-3951
Ammie,Franklin,614-801-9788
Francine,Dona Ana,505-977-3911
Ernie,Bergen,201-709-6245
Albina,Middlesex,732-924-7882
Alishia,New York,212-860-1579
Solange,Jefferson,504-979-9175
Jose,New York,212-675-8570
Rozella,Ventura,805-832-6163
Valentine,Bexar,210-812-9597
Kati,Dickinson,785-463-7829
Youlanda,Crook,541-548-8197
Dyan,Johnson,913-413-4604
Roxane,Fairbanks North Star,907-231-4722
Lavera,Miami-Dade,305-606-7291
Erick,Fairbanks North Star,907-741-1044
Fatima,Hennepin,952-768-2416
Jina,Suffolk,617-399-5124
Kanisha,Los Angeles,323-453-2780
Emerson,Dane,608-336-7444
Blair,Philadelphia,215-907-9111
